Row_ID,Order_ID,Order_Date,Ship_Date,Customer_ID,Product_ID,Location_ID,Shipping_ID,Sales,Quantity,Discount,Profit,Actual_Fulfillment_Days,Shipping_Cost_Per_Unit,Shipping_Cost,Unit_Cost,Net_Profit,Net_Profit_Margin
13,CA-2017-114412,2017-04-15,2017-04-20,AA-10480,OFF-PA-10002365,LOC-0005,STD_S,15.552,3,0.2,5.4432,5,1.0,3.0,3.3695999999999997,2.4432,15.709876543209877
14,CA-2016-161389,2016-12-05,2016-12-10,IM-15070,OFF-BI-10003656,LOC-0006,STD_W,407.976,3,0.2,132.5922,5,2.5,7.5,91.7946,125.09219999999999,30.661656568033415
15,US-2015-118983,2015-11-22,2015-11-26,HP-14815,OFF-AP-10002311,LOC-0007,STD_C,68.81,5,0.8,-123.858,4,1.7999999999999998,9.0,38.5336,-132.858,-193.0794942595553
16,US-2015-118983,2015-11-22,2015-11-26,HP-14815,OFF-BI-10000756,LOC-0007,STD_C,2.544,3,0.8,-3.816,4,1.2,3.5999999999999996,2.1199999999999997,-7.4159999999999995,-291.50943396226415
17,CA-2014-105893,2014-11-11,2014-11-18,PK-19075,OFF-ST-10004186,LOC-0008,STD_C,665.88,6,0.0,13.3176,7,1.7999999999999998,10.799999999999999,108.7604,2.5176000000000016,0.3780861416471439
18,CA-2014-167164,2014-05-13,2014-05-15,AG-10270,OFF-ST-10000107,LOC-0009,SC_W,55.5,2,0.0,9.99,2,6.0,12.0,22.755,-2.01,-3.6216216216216215
19,CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,OFF-AR-10003056,LOC-0010,SC_W,8.56,2,0.0,2.4824,5,4.0,8.0,3.0388,-5.5176,-64.45794392523364
20,CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,TEC-PH-10001949,LOC-0010,SC_W,213.48,3,0.2,16.011,5,6.0,18.0,65.823,-1.9890000000000008,-0.9317032040472178
21,CA-2014-143336,2014-08-27,2014-09-01,ZD-21925,OFF-BI-10002215,LOC-0010,SC_W,22.72,4,0.2,7.384,5,4.0,16.0,3.8339999999999996,-8.616,-37.92253521126761
22,CA-2016-137330,2016-12-09,2016-12-13,KB-16585,OFF-AR-10000246,LOC-0011,STD_C,19.46,7,0.0,5.0596,4,1.2,8.4,2.0572000000000004,-3.3404000000000007,-17.165467625899282
23,CA-2016-137330,2016-12-09,2016-12-13,KB-16585,OFF-AP-10001492,LOC-0011,STD_C,60.34,7,0.0,15.6884,4,1.7999999999999998,12.599999999999998,6.3788,3.088400000000002,5.118329466357311
24,US-2017-156909,2017-07-16,2017-07-18,SF-20065,FUR-CH-10002774,LOC-0012,SC_E,71.372,2,0.3,-1.0196,2,9.0,18.0,36.1958,-19.0196,-26.648545648153338
25,CA-2015-106320,2015-09-25,2015-09-30,EB-13870,FUR-TA-10000577,LOC-0013,STD_W,1044.63,3,0.0,240.2649,5,7.5,22.5,268.12170000000003,217.7649,20.846127336951838
26,CA-2016-121755,2016-01-16,2016-01-20,EH-13945,OFF-BI-10001634,LOC-0014,SC_W,11.648,2,0.2,4.2224,4,4.0,8.0,3.7127999999999997,-3.7775999999999996,-32.43131868131868
27,CA-2016-121755,2016-01-16,2016-01-20,EH-13945,TEC-AC-10003027,LOC-0014,SC_W,90.57,3,0.0,11.7741,4,4.0,12.0,26.265299999999996,-0.22589999999999932,-0.24942033786021792
28,US-2015-150630,2015-09-17,2015-09-21,TB-21520,FUR-BO-10004834,LOC-0012,STD_E,3083.43,7,0.5,-1665.0522,4,4.5,31.5,678.3546,-1696.5522,-55.02158959340735
29,US-2015-150630,2015-09-17,2015-09-21,TB-21520,OFF-BI-10000474,LOC-0012,STD_E,9.618,2,0.7,-7.0532,4,1.5,3.0,8.3356,-10.0532,-104.52484924100645
30,US-2015-150630,2015-09-17,2015-09-21,TB-21520,FUR-FU-10004848,LOC-0012,STD_E,124.2,3,0.2,15.525,4,2.25,6.75,36.225,8.775,7.065217391304348
31,US-2015-150630,2015-09-17,2015-09-21,TB-21520,OFF-EN-10001509,LOC-0012,STD_E,3.264,2,0.2,1.1016,4,1.5,3.0,1.0812,-1.8984,-58.161764705882355
32,US-2015-150630,2015-09-17,2015-09-21,TB-21520,OFF-AR-10004042,LOC-0012,STD_E,86.304,6,0.2,9.7092,4,1.5,9.0,12.7658,0.7091999999999992,0.8217463848720791
33,US-2015-150630,2015-09-17,2015-09-21,TB-21520,OFF-BI-10001525,LOC-0012,STD_E,6.858,6,0.7,-5.715,4,1.5,9.0,2.0955,-14.715,-214.56692913385828
34,US-2015-150630,2015-09-17,2015-09-21,TB-21520,OFF-AR-10001683,LOC-0012,STD_E,15.76,2,0.2,3.546,4,1.5,3.0,6.107,0.5459999999999998,3.4644670050761412
35,CA-2017-107727,2017-10-19,2017-10-23,MA-17560,OFF-PA-10000249,LOC-0015,SC_C,29.472,3,0.2,9.9468,4,2.5,7.5,6.508400000000001,2.4467999999999996,8.302117263843646
36,CA-2016-117590,2016-12-08,2016-12-10,GH-14485,TEC-PH-10004977,LOC-0016,FC_C,1097.544,7,0.2,123.4737,2,6.75,47.25,139.15290000000002,76.2237,6.9449334149701505
37,CA-2016-117590,2016-12-08,2016-12-10,GH-14485,FUR-FU-10003664,LOC-0016,FC_C,190.92,5,0.6,-147.963,2,6.75,33.75,67.7766,-181.713,-95.17756128221245
38,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,OFF-EN-10002986,LOC-0017,STD_C,113.328,9,0.2,35.415,4,1.2,10.799999999999999,8.657000000000002,24.615000000000002,21.720139771283357
39,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,FUR-BO-10002545,LOC-0017,STD_C,532.3992,3,0.32,-46.9764,4,3.5999999999999996,10.799999999999999,193.12519999999998,-57.776399999999995,-10.852082422362768
40,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,FUR-CH-10004218,LOC-0017,STD_C,212.058,3,0.3,-15.147,4,3.5999999999999996,10.799999999999999,75.735,-25.947,-12.235803412274
41,CA-2015-117415,2015-12-27,2015-12-31,SN-20710,TEC-PH-10000486,LOC-0017,STD_C,371.168,4,0.2,41.7564,4,1.7999999999999998,7.199999999999999,82.3529,34.5564,9.31017760151737
42,CA-2017-120999,2017-09-10,2017-09-15,LC-16930,TEC-PH-10004093,LOC-0018,STD_C,147.168,4,0.2,16.5564,5,1.7999999999999998,7.199999999999999,32.6529,9.3564,6.357632093933464
43,CA-2016-101343,2016-07-17,2016-07-22,RA-19885,OFF-ST-10003479,LOC-0014,STD_W,77.88,2,0.0,3.894,5,3.75,7.5,36.992999999999995,-3.606,-4.63020030816641
44,CA-2017-139619,2017-09-19,2017-09-23,ES-14080,OFF-ST-10003282,LOC-0019,STD_S,95.616,2,0.2,9.5616,4,1.5,3.0,43.0272,6.5616,6.862449799196788
45,CA-2016-118255,2016-03-11,2016-03-13,ON-18715,TEC-AC-10000171,LOC-0020,FC_C,45.98,2,0.0,19.7714,2,4.5,9.0,13.104299999999999,10.7714,23.426272292301
46,CA-2016-118255,2016-03-11,2016-03-13,ON-18715,OFF-BI-10003291,LOC-0020,FC_C,17.46,2,0.0,8.2062,2,4.5,9.0,4.6269,-0.7937999999999992,-4.546391752577315
47,CA-2014-146703,2014-10-20,2014-10-25,PO-18865,OFF-ST-10001713,LOC-0021,SC_C,211.96,4,0.0,8.4784,5,3.75,15.0,50.870400000000004,-6.521599999999999,-3.076806944706548
48,CA-2016-169194,2016-06-20,2016-06-25,LH-16900,TEC-AC-10002167,LOC-0022,STD_E,45.0,3,0.0,4.95,5,1.5,4.5,13.35,0.4500000000000002,1.0000000000000004
49,CA-2016-169194,2016-06-20,2016-06-25,LH-16900,TEC-PH-10003988,LOC-0022,STD_E,21.8,2,0.0,6.104,5,2.25,4.5,7.848000000000001,1.604,7.3577981651376145
50,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,OFF-BI-10004410,LOC-0023,STD_C,38.22,6,0.0,17.9634,4,1.2,7.199999999999999,3.3760999999999997,10.7634,28.161695447409734
51,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,OFF-LA-10002762,LOC-0023,STD_C,75.18,6,0.0,35.3346,4,1.2,7.199999999999999,6.640900000000001,28.134600000000002,37.42298483639266
52,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,FUR-FU-10001706,LOC-0023,STD_C,6.16,2,0.0,2.9568,4,1.7999999999999998,3.5999999999999996,1.6016000000000001,-0.6431999999999998,-10.441558441558438
53,CA-2015-115742,2015-04-18,2015-04-22,DP-13000,FUR-CH-10003061,LOC-0023,STD_C,89.99,1,0.0,17.0981,4,3.5999999999999996,3.5999999999999996,72.89189999999999,13.498099999999999,14.999555506167352
54,CA-2016-105816,2016-12-11,2016-12-17,JM-15265,OFF-FA-10000304,LOC-0024,STD_E,15.26,7,0.0,6.2566,6,1.5,10.5,1.2861999999999998,-4.2434,-27.807339449541285
55,CA-2016-105816,2016-12-11,2016-12-17,JM-15265,TEC-PH-10002447,LOC-0024,STD_E,1029.95,5,0.0,298.6855,6,2.25,11.25,146.2529,287.4355,27.90771396669741
56,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,OFF-ST-10000604,LOC-0025,FC_E,208.56,6,0.0,52.14,1,7.5,45.0,26.070000000000004,7.140000000000001,3.4234752589182973
57,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,OFF-PA-10001569,LOC-0025,FC_E,32.4,5,0.0,15.552,1,5.0,25.0,3.3695999999999997,-9.448,-29.160493827160494
58,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,FUR-CH-10003968,LOC-0025,FC_E,319.41,5,0.1,7.098,1,15.0,75.0,62.4624,-67.902,-21.258570489339718
59,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,OFF-PA-10000587,LOC-0025,FC_E,14.56,2,0.0,6.9888,1,5.0,10.0,3.7856,-3.0111999999999997,-20.68131868131868
60,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,TEC-AC-10002167,LOC-0025,FC_E,30.0,2,0.0,3.3,1,5.0,10.0,13.35,-6.7,-22.333333333333332
61,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,OFF-BI-10001460,LOC-0025,FC_E,48.48,4,0.2,16.362,1,5.0,20.0,8.029499999999999,-3.6380000000000017,-7.504125412541258
62,CA-2016-111682,2016-06-17,2016-06-18,TB-21055,OFF-AR-10001868,LOC-0025,FC_E,1.68,1,0.0,0.84,1,5.0,5.0,0.84,-4.16,-247.61904761904762
63,CA-2015-135545,2015-11-24,2015-11-30,KM-16720,TEC-AC-10004633,LOC-0026,STD_W,13.98,2,0.0,6.1512,6,2.5,5.0,3.9144,1.1512000000000002,8.234620886981403
64,CA-2015-135545,2015-11-24,2015-11-30,KM-16720,OFF-BI-10001078,LOC-0026,STD_W,25.824,6,0.2,9.3612,6,2.5,15.0,2.7438000000000002,-5.6388,-21.835501858736055
65,CA-2015-135545,2015-11-24,2015-11-30,KM-16720,OFF-PA-10003892,LOC-0026,STD_W,146.73,3,0.0,68.9631,6,2.5,7.5,25.922299999999996,61.4631,41.88857084440809
66,CA-2015-135545,2015-11-24,2015-11-30,KM-16720,FUR-FU-10000397,LOC-0026,STD_W,79.76,4,0.0,22.3328,6,3.75,15.0,14.356800000000002,7.332799999999999,9.193580742226679
67,US-2015-164175,2015-04-30,2015-05-05,PS-18970,FUR-CH-10001146,LOC-0027,STD_C,213.115,5,0.3,-15.2225,5,3.5999999999999996,18.0,45.667500000000004,-33.2225,-15.589001243460102
68,CA-2014-106376,2014-12-05,2014-12-10,BS-11590,OFF-AR-10002671,LOC-0028,STD_W,1113.024,8,0.2,111.3024,5,2.5,20.0,125.21519999999998,91.3024,8.2030935541372
69,CA-2014-106376,2014-12-05,2014-12-10,BS-11590,TEC-PH-10002726,LOC-0028,STD_W,167.968,4,0.2,62.988,5,3.75,15.0,26.244999999999997,47.988,28.56972756715565
70,CA-2016-119823,2016-06-04,2016-06-06,KD-16270,OFF-PA-10000482,LOC-0029,FC_S,75.88,2,0.0,35.6636,2,4.0,8.0,20.108199999999997,27.663600000000002,36.457037427517136
71,CA-2016-106075,2016-09-18,2016-09-23,HM-14980,OFF-BI-10004654,LOC-0030,STD_E,4.616,1,0.2,1.731,5,1.5,1.5,2.885,0.2310000000000001,5.004332755632585
72,CA-2017-114440,2017-09-14,2017-09-17,TB-21520,OFF-PA-10004675,LOC-0031,SC_C,19.05,3,0.0,8.763,3,2.5,7.5,3.4290000000000003,1.263,6.6299212598425195
73,US-2015-134026,2015-04-26,2015-05-02,JE-15745,FUR-CH-10000513,LOC-0032,STD_S,831.936,8,0.2,-114.3912,6,3.0,24.0,118.29090000000001,-138.3912,-16.634837295176553
74,US-2015-134026,2015-04-26,2015-05-02,JE-15745,FUR-FU-10003708,LOC-0032,STD_S,97.04,2,0.2,1.213,6,1.5,3.0,47.913500000000006,-1.787,-1.841508656224237
75,US-2015-134026,2015-04-26,2015-05-02,JE-15745,OFF-ST-10004123,LOC-0032,STD_S,72.784,1,0.2,-18.196,6,1.5,1.5,90.98,-19.696,-27.060892503847
76,US-2017-118038,2017-12-09,2017-12-11,KB-16600,OFF-BI-10004182,LOC-0017,FC_C,1.248,3,0.8,-1.9344,2,4.5,13.5,1.0608,-15.4344,-1236.7307692307693
77,US-2017-118038,2017-12-09,2017-12-11,KB-16600,FUR-FU-10000260,LOC-0017,FC_C,9.708,3,0.6,-5.8248,2,6.75,20.25,5.1776,-26.0748,-268.59085290482074
78,US-2017-118038,2017-12-09,2017-12-11,KB-16600,OFF-ST-10000615,LOC-0017,FC_C,27.24,3,0.2,2.724,2,6.75,20.25,8.171999999999999,-17.526,-64.33920704845816
79,US-2014-147606,2014-11-26,2014-12-01,JE-15745,FUR-FU-10003194,LOC-0033,SC_C,19.3,5,0.6,-14.475,5,3.75,18.75,6.755,-33.225,-172.15025906735752
80,CA-2016-127208,2016-06-12,2016-06-15,SC-20770,OFF-AP-10002118,LOC-0034,FC_S,208.16,1,0.0,56.2032,3,6.0,6.0,151.9568,50.2032,24.11760184473482
81,CA-2016-127208,2016-06-12,2016-06-15,SC-20770,OFF-BI-10002309,LOC-0034,FC_S,16.74,3,0.0,8.0352,3,4.0,12.0,2.9015999999999997,-3.9648000000000003,-23.684587813620077
82,CA-2014-139451,2014-10-12,2014-10-16,DN-13690,OFF-AR-10002053,LOC-0035,STD_W,14.9,5,0.0,4.172,4,2.5,12.5,2.1456000000000004,-8.328,-55.89261744966443
83,CA-2014-139451,2014-10-12,2014-10-16,DN-13690,OFF-ST-10002370,LOC-0035,STD_W,21.39,1,0.0,6.2031,4,3.75,3.75,15.186900000000001,2.4531,11.46844319775596
84,CA-2015-149734,2015-09-03,2015-09-08,JC-16105,OFF-EN-10000927,LOC-0036,STD_S,200.984,7,0.2,62.8075,5,1.0,7.0,19.7395,55.8075,27.767135692393424
85,US-2017-119662,2017-11-13,2017-11-16,CS-12400,OFF-ST-10003656,LOC-0037,FC_C,230.376,3,0.2,-48.9549,3,6.75,20.25,93.1103,-69.20490000000001,-30.039978122721124
86,CA-2017-140088,2017-05-28,2017-05-30,PO-18865,FUR-CH-10000863,LOC-0038,SC_S,301.96,2,0.0,33.2156,2,6.6000000000000005,13.200000000000001,134.3722,20.0156,6.62856007418201
87,CA-2017-155558,2017-10-26,2017-11-02,PG-18895,TEC-AC-10001998,LOC-0039,STD_C,19.99,1,0.0,6.7966,7,1.2,1.2,13.193399999999999,5.5966,27.996998499249624
88,CA-2017-155558,2017-10-26,2017-11-02,PG-18895,OFF-LA-10000134,LOC-0039,STD_C,6.16,2,0.0,2.9568,7,1.2,2.4,1.6016000000000001,0.5568,9.038961038961038
89,CA-2016-159695,2016-04-05,2016-04-10,GM-14455,OFF-ST-10003442,LOC-0015,SC_C,158.368,7,0.2,13.8572,5,3.75,26.25,20.644399999999997,-12.3928,-7.825318246110326
90,CA-2016-109806,2016-09-17,2016-09-22,JS-15685,OFF-AR-10004930,LOC-0002,STD_W,20.1,3,0.0,6.633,5,2.5,7.5,4.489000000000001,-0.867,-4.313432835820896
91,CA-2016-109806,2016-09-17,2016-09-22,JS-15685,TEC-PH-10004093,LOC-0002,STD_W,73.584,2,0.2,8.2782,5,3.75,7.5,32.6529,0.7782,1.057566862361383
92,CA-2016-109806,2016-09-17,2016-09-22,JS-15685,OFF-PA-10000304,LOC-0002,STD_W,6.48,1,0.0,3.1104,5,2.5,2.5,3.3696000000000006,0.6103999999999998,9.41975308641975
93,CA-2015-149587,2015-01-31,2015-02-05,KB-16315,OFF-PA-10003177,LOC-0040,SC_C,12.96,2,0.0,6.2208,5,2.5,5.0,3.3696000000000006,1.2207999999999997,9.41975308641975
94,CA-2015-149587,2015-01-31,2015-02-05,KB-16315,FUR-FU-10003799,LOC-0040,SC_C,53.34,3,0.0,16.5354,5,3.75,11.25,12.268200000000002,5.285399999999999,9.908886389201347
95,CA-2015-149587,2015-01-31,2015-02-05,KB-16315,OFF-BI-10002852,LOC-0040,SC_C,32.96,2,0.0,16.1504,5,2.5,5.0,8.4048,11.150400000000001,33.83009708737864
96,US-2017-109484,2017-11-06,2017-11-12,RB-19705,OFF-BI-10004738,LOC-0041,STD_W,5.682,1,0.7,-3.788,6,2.5,2.5,9.47,-6.288,-110.66525871172121
97,CA-2017-161018,2017-11-09,2017-11-11,PN-18775,FUR-FU-10000629,LOC-0030,SC_E,96.53,7,0.0,40.5426,2,4.5,31.5,7.9982,9.0426,9.367657722987673
98,CA-2017-157833,2017-06-17,2017-06-20,KD-16345,OFF-BI-10001721,LOC-0035,FC_W,51.312,3,0.2,17.9592,3,6.5,19.5,11.117600000000001,-1.5408000000000008,-3.002806361085128
99,CA-2016-149223,2016-09-06,2016-09-11,ER-13855,OFF-AP-10000358,LOC-0042,STD_C,77.88,6,0.0,22.5852,5,1.7999999999999998,10.799999999999999,9.2158,11.785200000000001,15.132511556240372
100,CA-2016-158568,2016-08-29,2016-09-02,RB-19465,OFF-PA-10003256,LOC-0027,STD_C,64.624,7,0.2,22.6184,4,1.2,8.4,6.000799999999999,14.2184,22.001733102253034
101,CA-2016-158568,2016-08-29,2016-09-02,RB-19465,TEC-AC-10001767,LOC-0027,STD_C,95.976,3,0.2,-10.7973,4,1.2,3.5999999999999996,35.591100000000004,-14.3973,-15.00093773443361
102,CA-2016-158568,2016-08-29,2016-09-02,RB-19465,OFF-BI-10002609,LOC-0027,STD_C,1.788,3,0.8,-3.0396,4,1.2,3.5999999999999996,1.6092000000000002,-6.6396,-371.3422818791946
103,CA-2016-129903,2016-12-01,2016-12-04,GZ-14470,OFF-PA-10004040,LOC-0039,SC_C,23.92,4,0.0,11.7208,3,2.5,10.0,3.0498000000000003,1.7208000000000006,7.19397993311037
104,US-2015-156867,2015-11-13,2015-11-17,LC-16870,TEC-AC-10001552,LOC-0043,STD_W,238.896,6,0.2,-26.8758,4,2.5,15.0,44.2953,-41.8758,-17.528882861161343
105,US-2015-156867,2015-11-13,2015-11-17,LC-16870,FUR-FU-10004006,LOC-0043,STD_W,102.36,3,0.2,-3.8385,4,3.75,11.25,35.399499999999996,-15.0885,-14.740621336459556
106,US-2015-156867,2015-11-13,2015-11-17,LC-16870,OFF-BI-10002794,LOC-0043,STD_W,36.882,3,0.7,-25.8174,4,2.5,7.5,20.8998,-33.3174,-90.33512282414186
107,CA-2017-119004,2017-11-23,2017-11-28,JM-15250,TEC-AC-10003499,LOC-0044,STD_S,74.112,8,0.2,17.6016,5,1.0,8.0,7.063799999999999,9.601600000000001,12.955526770293613
108,CA-2017-119004,2017-11-23,2017-11-28,JM-15250,TEC-PH-10002844,LOC-0044,STD_S,27.992,1,0.2,2.0994,5,1.5,1.5,25.8926,0.5994000000000002,2.1413260931694773
109,CA-2017-119004,2017-11-23,2017-11-28,JM-15250,OFF-AR-10000390,LOC-0044,STD_S,3.304,1,0.2,1.0738,5,1.0,1.0,2.2302,0.07380000000000009,2.233656174334143
110,CA-2015-129476,2015-10-15,2015-10-20,PA-19060,TEC-AC-10000844,LOC-0045,STD_C,339.96,5,0.2,67.992,5,1.2,6.0,54.39359999999999,61.992000000000004,18.235086480762444
111,CA-2017-146780,2017-12-25,2017-12-30,CV-12805,FUR-FU-10001934,LOC-0046,STD_E,41.96,2,0.0,10.9096,5,2.25,4.5,15.525200000000002,6.409599999999999,15.275500476644421
112,CA-2016-128867,2016-11-03,2016-11-10,CL-12565,OFF-AR-10000380,LOC-0047,STD_C,75.96,2,0.0,22.788,7,1.2,2.4,26.586,20.388,26.840442338072673
113,CA-2016-128867,2016-11-03,2016-11-10,CL-12565,OFF-BI-10003981,LOC-0047,STD_C,27.24,6,0.0,13.3476,7,1.2,7.199999999999999,2.3154,6.147600000000001,22.568281938325995
114,CA-2014-115259,2014-08-25,2014-08-27,RC-19960,OFF-FA-10000621,LOC-0048,SC_E,40.096,14,0.2,14.5348,2,3.0,42.0,1.8257999999999996,-27.4652,-68.49860335195531
115,CA-2014-115259,2014-08-25,2014-08-27,RC-19960,OFF-EN-10002600,LOC-0048,SC_E,4.72,2,0.2,1.652,2,3.0,6.0,1.5339999999999998,-4.348,-92.11864406779661
116,CA-2014-115259,2014-08-25,2014-08-27,RC-19960,OFF-PA-10004965,LOC-0048,SC_E,23.976,3,0.2,7.4925,2,3.0,9.0,5.4944999999999995,-1.5075000000000003,-6.287537537537539
117,CA-2014-115259,2014-08-25,2014-08-27,RC-19960,OFF-EN-10002504,LOC-0048,SC_E,130.464,6,0.2,44.0316,2,3.0,18.0,14.4054,26.031599999999997,19.953090507726266
118,CA-2015-110457,2015-03-02,2015-03-06,DK-13090,FUR-TA-10001768,LOC-0006,STD_W,787.53,3,0.0,165.3813,4,7.5,22.5,207.38289999999998,142.8813,18.142965982248295
119,US-2015-136476,2015-04-05,2015-04-10,GG-14650,OFF-BI-10003650,LOC-0049,STD_S,157.794,1,0.7,-115.7156,5,1.0,1.0,273.5096,-116.7156,-73.96707099129245
120,CA-2016-103730,2016-06-12,2016-06-15,SC-20725,FUR-FU-10002157,LOC-0050,FC_E,47.04,3,0.0,18.3456,3,7.5,22.5,9.5648,-4.154399999999999,-8.831632653061222
121,CA-2016-103730,2016-06-12,2016-06-15,SC-20725,OFF-BI-10003910,LOC-0050,FC_E,30.84,4,0.0,13.878,3,5.0,20.0,4.2405,-6.122,-19.850843060959793
122,CA-2016-103730,2016-06-12,2016-06-15,SC-20725,OFF-ST-10000777,LOC-0050,FC_E,226.56,6,0.0,63.4368,3,7.5,45.0,27.1872,18.436799999999998,8.137711864406779
123,CA-2016-103730,2016-06-12,2016-06-15,SC-20725,OFF-EN-10002500,LOC-0050,FC_E,115.02,9,0.0,51.759,3,5.0,45.0,7.029,6.759,5.876369327073553
124,CA-2016-103730,2016-06-12,2016-06-15,SC-20725,TEC-PH-10003875,LOC-0050,FC_E,68.04,7,0.0,19.7316,3,7.5,52.5,6.901200000000001,-32.7684,-48.16049382716049
125,US-2014-152030,2014-12-26,2014-12-28,AD-10180,FUR-CH-10004063,LOC-0017,SC_C,600.558,3,0.3,-8.5794,2,7.5,22.5,203.04579999999999,-31.0794,-5.175087168932892
126,US-2014-134614,2014-09-20,2014-09-25,PF-19165,FUR-TA-10004534,LOC-0051,STD_C,617.7,6,0.5,-407.682,5,3.5999999999999996,21.599999999999998,170.89700000000002,-429.28200000000004,-69.4968431277319
127,US-2017-107272,2017-11-05,2017-11-12,TS-21610,OFF-BI-10003274,LOC-0052,STD_W,2.388,2,0.7,-1.8308,7,2.5,5.0,2.1094,-6.8308,-286.0469011725293
128,US-2017-107272,2017-11-05,2017-11-12,TS-21610,OFF-ST-10002974,LOC-0052,STD_W,243.992,7,0.2,30.499,7,3.75,26.25,30.499,4.248999999999999,1.741450539361946
129,US-2016-125969,2016-11-06,2016-11-10,LS-16975,FUR-CH-10001146,LOC-0026,SC_W,81.424,2,0.2,-9.1602,4,12.0,24.0,45.292100000000005,-33.1602,-40.72533896639812
130,US-2016-125969,2016-11-06,2016-11-10,LS-16975,FUR-FU-10003773,LOC-0026,SC_W,238.56,3,0.0,26.2416,4,6.0,18.0,70.7728,8.241599999999998,3.454728370221327
131,US-2017-164147,2017-02-02,2017-02-05,DW-13585,TEC-PH-10002293,LOC-0048,FC_E,59.97,5,0.4,-11.994,3,7.5,37.5,14.3928,-49.494,-82.53126563281641
132,US-2017-164147,2017-02-02,2017-02-05,DW-13585,OFF-PA-10002377,LOC-0048,FC_E,78.304,2,0.2,29.364,3,5.0,10.0,24.47,19.364,24.72926031875766
133,US-2017-164147,2017-02-02,2017-02-05,DW-13585,OFF-FA-10002780,LOC-0048,FC_E,21.456,9,0.2,6.9732,3,5.0,45.0,1.6092,-38.0268,-177.2315436241611
134,CA-2016-145583,2016-10-13,2016-10-19,LC-16885,OFF-PA-10001804,LOC-0053,STD_W,20.04,3,0.0,9.6192,6,2.5,7.5,3.4736,2.1191999999999993,10.574850299401195
